x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name
1253.6196,1085.5714,1408.0442,1213.4597,5,0.2993771,,bus
1236.7566,1488.5936,1498.8666,1710.0004,2,0.7439443,,car
2216.982,1213.9857,2343.0676,1352.033,2,0.6121663,,car
2419.6174,1600.2217,2711.1602,1877.4229,2,0.54763436,,car
1044.193,1904.4023,1505.7784,2156.7224,2,0.5382264,,car
1846.0869,1173.5698,1910.7649,1221.4171,2,0.4155423,,car
542.06494,1125.682,726.9537,1280.9705,5,0.40252545,,bus
2439.6982,1170.8495,2675.4568,1358.3075,7,0.40003178,,truck
2432.7434,1166.8649,2672.2866,1360.1466,5,0.3696057,,bus
1510.1968,1049.8954,1663.1462,1151.3232,5,0.35440964,,bus
1938.1923,1161.1102,2009.9213,1216.2913,2,0.25114635,,car
1202.1251,1515.2175,1471.4653,1742.0991,2,0.77462745,,car
2411.6665,1585.8655,2696.6726,1854.1838,2,0.7056821,,car
2211.148,1224.5527,2336.6855,1349.8368,2,0.65423477,,car
2442.5906,1170.3458,2673.836,1359.7417,7,0.5463916,,truck
1508.0773,1049.8943,1658.7284,1151.6742,5,0.38019434,,bus
1844.0504,1177.5232,1909.9076,1223.8774,2,0.36321056,,car
543.1528,1125.8705,727.0837,1282.5692,7,0.34914005,,truck
544.7241,1128.471,731.4855,1275.0015,5,0.340372,,bus
2434.5574,1166.3218,2671.199,1359.6204,5,0.33968037,,bus
2400.765,1579.1759,2683.9272,1839.5006,2,0.7293421,,car
1168.1825,1539.7273,1450.4099,1779.0652,2,0.70594037,,car
2211.3093,1225.8499,2334.9436,1347.1832,2,0.6924794,,car
2440.5103,1169.7064,2670.4036,1361.4779,7,0.5498186,,truck
542.79553,1128.5282,731.4637,1277.6449,5,0.41175035,,bus
1508.636,1049.6444,1663.5264,1151.6759,5,0.38048524,,bus
1838.25,1172.4685,1910.6565,1232.584,2,0.37587312,,car
1935.6354,1165.0082,2012.9,1220.5928,2,0.25410876,,car
1127.9073,1564.0325,1424.9238,1805.1124,2,0.79934657,,car
2210.7312,1227.0967,2330.6038,1345.919,2,0.6619486,,car
2393.5642,1567.4056,2673.6262,1824.5223,2,0.59398055,,car
2441.1511,1170.9188,2669.852,1357.1869,7,0.5659583,,truck
542.1916,1129.325,731.52875,1279.555,5,0.44736913,,bus
2432.6418,1166.4471,2666.795,1356.6226,5,0.3341296,,bus
1511.7119,1049.8385,1664.8324,1151.5891,5,0.32662326,,bus
1253.1222,1086.1029,1408.6388,1213.4564,5,0.27065673,,bus
2388.6477,1559.2214,2656.4019,1804.8486,2,0.6144882,,car
2439.9004,1168.221,2663.258,1353.8816,7,0.5934204,,truck
1089.5453,1585.0107,1394.6155,1848.3563,2,0.5892039,,car
2213.0422,1220.1742,2331.0176,1345.8856,2,0.58185875,,car
542.72974,1127.5188,730.29944,1281.2311,5,0.4479992,,bus
1512.4753,1050.4572,1647.8958,1151.3794,5,0.3301862,,bus
1831.254,1186.054,1901.0718,1237.3727,2,0.3167224,,car
1933.1572,1169.6028,2007.0454,1232.4636,2,0.25815612,,car
2381.4453,1541.7693,2643.0518,1788.6262,2,0.690313,,car
1026.2997,1605.3494,1366.4756,1894.5344,2,0.63402724,,car
2443.038,1166.148,2665.7256,1351.1237,7,0.5675421,,truck
2209.7368,1219.9432,2327.3967,1341.6633,2,0.5525235,,car
543.8222,1127.2097,730.7512,1276.1792,5,0.4139091,,bus
1828.179,1186.5853,1900.183,1238.657,2,0.40635535,,car
1502.9141,1048.861,1669.3507,1151.0404,5,0.35871434,,bus
1931.6898,1168.0219,2011.2543,1229.423,2,0.35562053,,car
2380.3972,1535.2128,2631.1868,1773.3616,2,0.76411885,,car
2205.7927,1215.9795,2326.3765,1340.7292,2,0.6298986,,car
2440.0886,1166.124,2659.5208,1350.3757,7,0.61988443,,truck
1826.183,1186.848,1894.1517,1240.1211,2,0.53140825,,car
970.10364,1634.4005,1338.4468,1944.2875,7,0.47386658,,truck
542.6401,1126.8582,730.6156,1281.6445,5,0.41600317,,bus
1929.5127,1174.9625,2012.7693,1233.4504,2,0.36660227,,car
2433.1846,1164.931,2657.743,1352.2494,5,0.35210723,,bus
1507.1677,1049.5599,1664.4298,1150.9651,5,0.3313447,,bus
901.0781,1659.4552,1304.038,1991.8583,2,0.68958473,,car
2376.4272,1532.3307,2622.828,1762.1581,2,0.6791937,,car
